,Event.Id,Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
84259,20190730X64357,Accident,2019-06-09,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,0.0,4.0
84261,20190610X53445,Accident,2019-06-10,Fatal,Destroyed,Helicopter,AGUSTA,A109,No,1.0,0.0,0.0,0.0
84269,20190617X25249,Accident,2019-06-10,Non-Fatal,Substantial,Helicopter,S M & T AIRCRAFT,UH,No,0.0,1.0,1.0,0.0
84283,20190819X11539,Accident,2019-06-12,Non-Fatal,Substantial,Helicopter,AGUSTAWESTLAND,AW139,No,0.0,0.0,0.0,1.0
84299,20190616X30658,Accident,2019-06-15,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,1.0,0.0,1.0
84314,20190619X91904,Accident,2019-06-17,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,0.0,3.0
84318,20190711X50821,Accident,2019-06-17,Non-Fatal,Substantial,Helicopter,EUROCOPTER,EC135,No,0.0,0.0,0.0,3.0
84320,20190618X62612,Accident,2019-06-18,Fatal,Destroyed,Helicopter,ROBINSON,R44,No,1.0,0.0,0.0,0.0
84324,20190621X02034,Accident,2019-06-19,Not Mentioned,Destroyed,Helicopter,AEROSPATIALE,AS355,No,0.0,0.0,0.0,0.0
84334,20190621X51852,Accident,2019-06-21,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,0.0,1.0
84335,20190621X54419,Accident,2019-06-21,Not Mentioned,Substantial,Helicopter,BOEING,CV2,No,0.0,0.0,0.0,0.0
84347,20190627X21651,Accident,2019-06-22,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,0.0,1.0
84358,20190701X40440,Accident,2019-06-25,Non-Fatal,Substantial,Helicopter,BELL,OH58C,No,0.0,0.0,0.0,2.0
84363,20190711X43717,Accident,2019-06-26,Non-Fatal,Substantial,Helicopter,MD HELICOPTER,369,No,0.0,1.0,0.0,0.0
84380,20190628X64455,Accident,2019-06-28,Fatal,Substantial,Helicopter,AGUSTA,A109,No,2.0,0.0,1.0,0.0
84381,20190628X74925,Accident,2019-06-28,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,0.0,1.0
84389,20190630X20833,Accident,2019-06-29,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,2.0,1.0,0.0
84398,20190702X74652,Accident,2019-06-29,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,1.0,0.0
84432,20190704X21909,Accident,2019-07-04,Fatal,Substantial,Helicopter,AGUSTA,AW139,No,7.0,0.0,0.0,0.0
84438,20190704X30312,Accident,2019-07-05,Non-Fatal,Substantial,Helicopter,MD HELICOPTER,369,No,0.0,1.0,0.0,1.0
84456,20190708X44358,Accident,2019-07-08,Non-Fatal,Substantial,Helicopter,CONTINENTAL COPTERS INC,TOMCAT MK6C,No,0.0,1.0,0.0,0.0
84459,20190709X43210,Accident,2019-07-08,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,0.0,2.0
84472,20191203X05334,Accident,2019-07-10,Fatal,Destroyed,Helicopter,ROBINSON,R44,No,2.0,0.0,0.0,0.0
84492,20190714X00745,Accident,2019-07-13,Non-Fatal,Substantial,Helicopter,BELL,47G 3B 1,No,0.0,1.0,2.0,0.0
84504,20190729X43816,Accident,2019-07-14,Fatal,Destroyed,Helicopter,ROBINSON,R22,No,2.0,0.0,0.0,0.0
84507,20190715X91456,Accident,2019-07-15,Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,0.0,1.0,0.0
84520,20190717X03502,Accident,2019-07-16,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,1.0,0.0,0.0
84551,20190721X44924,Accident,2019-07-21,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,1.0,0.0,0.0
84569,20190726X83141,Accident,2019-07-22,Fatal,Destroyed,Helicopter,ROBINSON,R66,No,2.0,0.0,0.0,0.0
84573,20190726X05055,Accident,2019-07-23,Non-Fatal,Substantial,Helicopter,RICHARDS HEAVYLIFT,UH-1H,No,0.0,0.0,0.0,1.0
84582,20190725X72151,Accident,2019-07-24,Non-Fatal,Substantial,Helicopter,HUGHES,269A,No,0.0,0.0,0.0,2.0
84586,20190729X94635,Incident,2019-07-24,Non-Fatal,No Damage,Helicopter,SIKORSKY,S92,No,0.0,0.0,0.0,13.0
84596,20190828X24502,Accident,2019-07-26,Non-Fatal,Substantial,Helicopter,SIKORSKY,S76,No,0.0,0.0,0.0,5.0
